vcmd,frequency_hz,VNA_mag,VNA_db,VNA_phase_deg,VNB_mag,VNB_db,VNX_mag,VNX_db,input_current_mag,input_impedance_mag
0,20,0.002390985268868571,-52.428461992270876,88.73346357469049,0.0023905532095813537,-52.4300317043261,0.9999980702265518,-0.000016761815370361653,1.2565739287223032e-7,7958146.967260493
0,50,0.005976405660625928,-44.4711986315102,89.12104633901555,0.005976232828136174,-44.47144982356849,0.9999879394610794,-0.00010475714175459343,3.141355872654008e-7,3183338.789167938
0,100,0.011951479423285212,-38.45156663808087,88.8957584419992,0.011951393013858442,-38.45162943745753,0.9999517656302416,-0.0004189685169057259,6.282147919961334e-7,1591812.2475634974
0,200,0.023894253849797494,-32.434130534481355,88.11875320536652,0.023894210660467135,-32.43414623441065,0.9998071869940367,-0.0016749139683687824,0.0000012559788271184161,796191.7656639908
0,500,0.05958611825301279,-24.4970981167122,85.53304806760724,0.05958610102048202,-24.497100628704697,0.99880033608177,-0.01042640373791354,0.000003132092636819557,319275.3586673723
0,1000,0.11812290913442408,-18.553317315163635,81.1835677837106,0.11812290059402329,-18.553317943161897,0.9952771511130016,-0.041119320992017185,0.000006209029637014434,161055.7620853687
0,2000,0.22837364926531767,-12.827080166042968,72.79573453854235,0.22837364513740835,-12.827080323042539,0.9822304306662589,-0.15573230073433625,0.000012004266097770814,83303.71818279666
0,5000,0.4727134316325565,-6.508041150428784,52.27145575014895,0.4727134302654509,-6.5080411755487155,0.9214576032435063,-0.710492842126099,0.000024847778742079473,40245.04606146181
0,10000,0.6488443108277114,-3.7571899795494272,32.874844423833125,0.6488443103585907,-3.75718998582941,0.8459738227296744,-1.4528615056484635,0.00003410594840259554,29320.39854736594
0,20000,0.7351450678625895,-2.6725390426526023,17.908713560497635,0.7351450677297103,-2.6725390442225967,0.796872930502204,-1.9722185151499856,0.00003864227419140863,25878.394088470362
0.5,20,0.0023677234182010233,-52.51338060793937,88.72385039189368,0.002367286920145866,-52.514982029551625,0.9999980865985055,-0.0000166196101142635,1.256574006204951e-7,7958146.476546619
0.5,50,0.00591824447710915,-44.556141970170685,89.11999881818356,0.005918069868536554,-44.556398237577454,0.9999880417743009,-0.00010386844973191634,3.1413572490924114e-7,3183337.394334618
0.5,100,0.011835180477740336,-38.5365023003015,88.9002322177233,0.011835093180194833,-38.536566368580296,0.9999521746967526,-0.000415415239673245,6.282159118382755e-7,1591809.410038367
0.5,200,0.023661865072963195,-32.519020528926845,88.13097647976156,0.0236618214394934,-32.519036546085744,0.999808820268061,-0.0016607248061778182,0.000001255987814230684,796186.0685826149
0.5,500,0.05900880526553257,-24.58166356617246,85.56574081261661,0.05900878785513878,-24.581666128921874,0.9988104142125986,-0.010338761506188987,0.0000031322321818850313,319261.1345300024
0.5,1000,0.11699372587314356,-18.63674855853563,81.24845712346762,0.1169937172434674,-18.63674919922313,0.9953156703495333,-0.04078316601959815,0.000006210117164413686,161027.55769736154
0.5,2000,0.22629909786436517,-12.906343546915952,72.91736666687005,0.22629909369130355,-12.906343707087835,0.9823592415683768,-0.15459329720867235,0.00001201213124272122,83249.17367232
0.5,5000,0.46943095103181676,-6.568565588349474,52.480505493620676,0.4694309496467724,-6.568565613976975,0.9216943481565086,-0.7082615120434566,0.000024917758549809983,40132.02062300366
0.5,10000,0.6459512987137351,-3.7960044852126034,33.07228343738367,0.6459512982372693,-3.79600449161948,0.8456199185871954,-1.4564959153696564,0.000034287595431361754,29165.066474312527
0.5,20000,0.732978589979434,-2.698174214942438,18.035635656988383,0.7329785898442693,-2.698174216544156,0.7956923495772534,-1.98509635146801,0.00003890707150372937,25702.26854272871
1,20,0.0014240223301335373,-56.92966400923972,87.3480525524721,0.0014227406693571522,-56.93748507815995,0.9999987513565605,-0.000010845585884214904,1.2565552249266288e-7,7958265.424095393
