rload_ohm,frequency_hz,VR_mag,VR_db,VR_phase_deg,VM_mag,VM_db
1000000,20,0.9925444103553863,-0.06500104160858197,-0.07836218840912931,0.9962622691040545,-0.03252634335695383
1000000,50,0.9924844720418059,-0.06552558569116558,-0.19584237091143217,0.9961801508480491,-0.033242318987861987
1000000,100,0.9922707006081867,-0.06739664274944089,-0.39123455960255493,0.9958872277482211,-0.03579674838439811
1000000,200,0.9914201836248258,-0.07484487691150102,-0.778884234564914,0.9947210758567318,-0.04597360514832943
1000000,500,0.9856645903957563,-0.12541690040012907,-1.8862777467202536,0.9867986287350742,-0.11542925363395797
1000000,1000,0.9676024734521625,-0.2860606027047611,-3.383357909431767,0.9615572543021927,-0.34049702648789765
1000000,2000,0.920664686692521,-0.7179702893260189,-4.6288061851508955,0.8924499521154841,-0.9883225884502894
1000000,3200,0.8782863311914094,-1.1272775227859109,-3.9614375591423956,0.8227930482063043,-1.6941877264785927
1000000,4200,0.8590400860627965,-1.319731397422212,-2.7983226377760633,0.7864111776489096,-2.0870064458189503
1000000,5000,0.8508372706092348,-1.40306988489716,-1.8378910081651842,0.7686413736539673,-2.2855248495277443
1000000,10000,0.8545391539973161,-1.365360672313391,2.3390415643035847,0.7614007057078162,-2.3677344998717405
1000000,13600,0.8733086990680307,-1.176644275854304,3.781222463934453,0.7912549949959985,-2.0336707074575924
1000000,20000,0.9064524719891477,-0.8530992465702933,4.723783131346985,0.8466386461097397,-1.4460382275368802
100000,20,0.9302240964873226,-0.6282482946423966,-0.05631934759834315,0.9651025321845371,-0.3085308979636053
100000,50,0.9301796889335159,-0.6286629563567597,-0.14074708965232002,0.9650303830525776,-0.3091802619457717
100000,100,0.9300213113125613,-0.6301419906545511,-0.28112833624409356,0.9647730091399963,-0.311497100461754
100000,200,0.9293912325682572,-0.6360285752791397,-0.5593435505999325,0.9637482026793404,-0.32072837736027787
100000,500,0.9251295318185568,-0.67594910704457,-1.3488615735702942,0.9567784780616383,-0.383772046799627
100000,1000,0.911788074664706,-0.80212184525147,-2.3820789109434006,0.9344867966101439,-0.5885366080115069
100000,2000,0.8775907597735844,-1.134159162642983,-3.044244550400401,0.8728396037894924,-1.1813111302222548
100000,3200,0.8482943952184626,-1.4290680484786933,-2.1678584606400406,0.8099929458293439,-1.8303752668894888
100000,4200,0.8365732985978616,-1.5499200233331678,-1.0366029289454943,0.7771061049656502,-2.1903935839550064
100000,5000,0.8326800441223003,-1.5904368689913246,-0.15512979759424586,0.7611973634038777,-2.3700544933842638
100000,10000,0.8477686530703085,-1.434452917193113,3.4777531533485115,0.7584310544247148,-2.4016778570396604
100000,13600,0.8690619634179118,-1.21898515201373,4.676724762266539,0.7892347530108121,-2.055875987187645
100000,20000,0.9041046311596866,-0.875626122665758,5.3687887042359295,0.8453869052074753,-1.4588896709533383
10000,20,0.57142965790161,-4.860744459018,0.070586238091961,0.7857070385544159,-2.094787126445329
10000,50,0.5714353646482919,-4.860657715315298,0.1764724640659723,0.7856690019295601,-2.0952076265894757
10000,100,0.5714557837202352,-4.860347348390709,0.35299382358473197,0.7855333070513856,-2.0967079180955004
10000,200,0.5715380473484726,-4.859097065531942,0.7063735992009081,0.7849928647755661,-2.1026858154817525
10000,500,0.5721391696087801,-4.849966373732874,1.7721234188754549,0.7813118026802321,-2.1435123017214335
10000,1000,0.5745944013987159,-4.81277219805057,3.5742676358294556,0.7694845388921522,-2.276002038840571
10000,2000,0.5870474055884419,-4.626536538789349,7.111268136870983,0.7367090065474629,-2.654080413952833
10000,3200,0.6148226089185156,-4.225003410693253,10.488268283615861,0.7050087638094723,-3.036109687109957
10000,4200,0.6429975875913058,-3.835813129314917,12.267137444601165,0.6914355680441363,-3.2049656746981006
10000,5000,0.6655687766571579,-3.536141199598034,13.124992198369101,0.6874394776684715,-3.255310624037724
10000,10000,0.7713876196729342,-2.254546711807501,13.812104155601727,0.7222231474964257,-2.826571928018584
10000,13600,0.8188644763428448,-1.7357593774092024,13.103474504924527,0.7637050775961729,-2.3414864384477374
10000,20000,0.8755140842925946,-1.1547372615968687,11.61090489921416,0.8293490504467494,-1.6252529649111453
