scenario,drive_v,cmd_v,sag_v,source_ohm,source_current_ua,iterations,diode,vd_v,raw_vd_v,id_ua,gd_us,rd_kohm,in_stated_range,left_path_v,right_path_v
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,1,D3_SSD55,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,1,D4_OA154Q,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,1,D2_SSD55,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_delivery_linear_r3k,0,0,0,3000,0,1,D1_OA154Q,0,0,0,0.000001,1000000000,false,0,0
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,51,D3_SSD55,0.22941250792666934,0.22941250792666934,0.1616968981594824,4.480869418807991,223.17097565990258,false,0.4588249623439046,0.45882496234390463
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,51,D4_OA154Q,0.22941245441723526,0.22941245441723526,0.16169666244041966,4.480863931812021,223.17124894163192,false,0.4588249623439046,0.45882496234390463
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,51,D2_SSD55,0.22941250792666934,0.22941250792666934,0.1616968981594824,4.480869418807991,223.17097565990258,false,0.4588249623439046,0.45882496234390463
b11_s6_s7_delivery_linear_r3k,0.5,0.49545188668113366,0.004548113175135149,3000,1.5160377250450496,51,D1_OA154Q,0.2294124544172353,0.2294124544172353,0.16169666244041977,4.4808639318120225,223.1712489416318,false,0.4588249623439046,0.45882496234390463
b11_s6_s7_delivery_linear_r3k,1,0.977355524895689,0.022644474960579752,3000,7.548158320193251,51,D3_SSD55,0.36026145862478426,0.36026145862478426,2.714601777344931,47.90336455212969,20.875360412560877,true,0.7205229073517493,0.7205229073517493
b11_s6_s7_delivery_linear_r3k,1,0.977355524895689,0.022644474960579752,3000,7.548158320193251,51,D4_OA154Q,0.36026144872696503,0.36026144872696503,2.714601311214097,47.90335764262346,20.875363423590578,true,0.7205229073517493,0.7205229073517493
b11_s6_s7_delivery_linear_r3k,1,0.977355524895689,0.022644474960579752,3000,7.548158320193251,51,D2_SSD55,0.3602614586247843,0.3602614586247843,2.714601777344934,47.90336455212972,20.875360412560862,true,0.7205229073517493,0.7205229073517493
b11_s6_s7_delivery_linear_r3k,1,0.977355524895689,0.022644474960579752,3000,7.548158320193251,51,D1_OA154Q,0.360261448726965,0.360261448726965,2.714601311214097,47.90335764262346,20.875363423590578,true,0.7205229073517493,0.7205229073517493
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,53,D3_SSD55,0.456032395726064,0.456032395726064,11.845897089300372,165.13911460454634,6.055500554151994,true,0.91206478579754,0.91206478579754
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,53,D4_OA154Q,0.456032390071476,0.456032390071476,11.845896171278074,165.13910385439655,6.055500948350196,true,0.91206478579754,0.91206478579754
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,53,D2_SSD55,0.456032395726064,0.456032395726064,11.845897089300372,165.13911460454634,6.055500554151994,true,0.91206478579754,0.91206478579754
b11_s6_s7_delivery_linear_r3k,2,1.9183549655226844,0.08164503435586279,3000,27.21501145195426,53,D1_OA154Q,0.456032390071476,0.456032390071476,11.845896171278074,165.13910385439655,6.055500948350196,true,0.91206478579754,0.91206478579754
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,53,D3_SSD55,0.5040139317497014,0.5040139317497014,22.136591076782988,279.219595097923,3.5814105369263123,true,1.0080278585182643,1.008027858518264
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,53,D4_OA154Q,0.5040139267685627,0.5040139267685627,22.136589709441967,279.21958061049537,3.5814107227493333,true,1.0080278585182643,1.008027858518264
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,53,D2_SSD55,0.5040139317497014,0.5040139317497014,22.136591076782988,279.219595097923,3.5814105369263123,true,1.0080278585182643,1.008027858518264
b11_s6_s7_delivery_linear_r3k,3,2.8527854160517077,0.14721458382683927,3000,49.07152794227976,53,D1_OA154Q,0.5040139267685626,0.5040139267685626,22.136589709441935,279.219580610495,3.581410722749338,true,1.0080278585182643,1.008027858518264
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,54,D3_SSD55,0.561838556776042,0.561838556776042,43.64323994506697,493.8364428235929,2.024961937361957,true,1.123677108888958,1.1236771088889579
b11_s6_s7_delivery_linear_r3k,5,4.716403918794795,0.2835960810473166,3000,94.5320270157722,54,D4_OA154Q,0.5618385521129161,0.5618385521129161,43.64323768113908,493.83642130528926,2.0249620255971377,true,1.123677108888958,1.1236771088889579
