scenario,mode,s7Position,s7Closed,zenerPath,zenerFraction,zenerVolt,diodeDropVolt,rectifierDropVolt,seriesOhm,thresholdPeakVolt,thresholdRmsVolt,ueRms,peakVolt,conductionDuty,averageExcessVolt,averageCurrentAmp,peakCurrentAmp,c11SlopeVoltPerSecond
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,7.75,10.960155108391488,0.16365453632768145,0.03925063076752919,7.696202111280233e-7,0.000007061864870421342,0.0015392404222560464
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,8,11.313708498984761,0.22733327281314164,0.10793552473836482,0.000002116382838007153,0.000013994284293818854,0.0042327656760143065
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,8.25,11.667261889578034,0.2744186978567378,0.19464238378246584,0.000003816517329067958,0.000020926703717216365,0.007633034658135915
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,8.5,12.020815280171309,0.31265866487296556,0.29495258722966705,0.000005783384063326805,0.00002785912314061391,0.01156676812665361
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,8.75,12.374368670764582,0.345133476890501,0.40624161319015256,0.000007965521827257893,0.00003479154256401142,0.015931043654515788
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,9,12.727922061357857,0.37345593325100823,0.5267137188975263,0.000010327719978382868,0.00004172396198740897,0.020655439956765734
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,9.25,13.08147545195113,0.39860162425268975,0.655043825760423,0.000012843996583537706,0.00004865638141080648,0.025687993167075412
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,9.5,13.435028842544403,0.42121658214537006,0.7902066843550382,0.000015494248712843887,0.00005558880083420399,0.030988497425687773
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,9.75,13.788582233137678,0.4417561073189178,0.9313827137713699,0.000018262406152379804,0.00006252122025760154,0.03652481230475961
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,10,14.142135623730951,0.46055602924892036,1.077900896635408,0.00002113531169873349,0.00006945363968099905,0.04227062339746698
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,10.25,14.495689014324226,0.47787280674708077,1.229201700035893,0.000024101994118350843,0.0000763860591043966,0.04820398823670168
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,10.5,14.849242404917499,0.4939077109560356,1.3848117337921135,0.000027153171250825755,0.00008331847852779411,0.054306342501651506
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,10.75,15.202795795510772,0.508822221154408,1.5443257267299884,0.000030280896602548792,0.00009025089795119162,0.06056179320509758
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,11,15.556349186104047,0.5227482632431505,1.707393293319334,0.00003347829986900655,0.00009718331737458916,0.0669565997380131
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,11.25,15.90990257669732,0.5357952673008569,1.8737089619498941,0.00003673939141078224,0.00010411573679798666,0.07347878282156448
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,11.5,16.263455967290593,0.548055180880618,2.043004497192793,0.00004005891170966261,0.00011104815622138419,0.08011782341932522
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,11.75,16.61700935788387,0.5596061222563704,2.21504287990588,0.000043432213331487844,0.00011798057564478177,0.08686442666297568
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,12,16.970562748477143,0.5705151016596977,2.3896135133960175,0.000046855166929333676,0.00012491299506817928,0.09371033385866735
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,12.25,17.324116139070416,0.5808400872943442,2.566528354439374,0.0000503240853811642,0.00013184541449157679,0.1006481707623284
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,12.5,17.67766952966369,0.5906316003201538,2.7456187540331594,0.00005383566184378744,0.0001387778339149743,0.10767132368757487
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,12.75,18.031222920256962,0.5999339645003241,2.9267328510309625,0.00005738691864766593,0.0001457102533383718,0.11477383729533186
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,13,18.38477631085024,0.6087862982134382,3.109733402215163,0.000060975164749316916,0.0001526426727617694,0.12195032949863382
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,13.25,18.73832970144351,0.6172233112449612,3.294495960957653,0.0000645979600187775,0.0001595750921851669,0.129195920037555
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,13.5,19.091883092036785,0.6252759515707355,3.480907337241512,0.00006825308504395121,0.00016650751160856442,0.13650617008790242
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,13.75,19.445436482630058,0.6329719354106891,3.6688642869342107,0.00007193851543008257,0.00017343993103196193,0.14387703086016512
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,14,19.79898987322333,0.6403361854032474,3.858272389453292,0.00007565239979320181,0.00018037235045535943,0.1513047995864036
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,14.25,20.152543263816607,0.6473911957029617,4.049045081450575,0.00007939304081275636,0.00018730476987875703,0.15878608162551272
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,14.5,20.50609665440988,0.6541573383995632,4.241102820619794,0.00008315887883568224,0.00019423718930215454,0.16631775767136447
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,14.75,20.859650045003153,0.6606531224059545,4.434372358734629,0.00008694847762224763,0.00020116960872555205,0.17389695524449525
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,15,21.213203435596427,0.6668954135336527,4.628786106925702,0.00009076051190050397,0.00020810202814894956,0.18152102380100793
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,15.25,21.5667568261897,0.6728996226384305,4.824281579276934,0.00009459375645641047,0.00021503444757234707,0.18918751291282093
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,15.5,21.920310216782976,0.6786798673168322,5.020800903261209,0.00009844707653453351,0.00022196686699574463,0.19689415306906702
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,15.75,22.27386360737625,0.6842491115529176,5.218290387487993,0.00010231941936250968,0.00022889928641914214,0.20463883872501934
limiter_low_drop,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.2,0.4,51000,10.6,7.495331880577403,16,22.627416997969522,0.6896192868730604,5.416700138810394,0.00010620980664334106,0.00023583170584253965,0.2124196132866821
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,0,0,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,0.25,0.3535533905932738,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,0.5,0.7071067811865476,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,0.75,1.0606601717798214,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,1,1.4142135623730951,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,1.25,1.7677669529663689,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,1.5,2.121320343559643,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,1.75,2.4748737341529163,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,2,2.8284271247461903,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,2.25,3.1819805153394642,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,2.5,3.5355339059327378,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,2.75,3.8890872965260117,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,3,4.242640687119286,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,3.25,4.59619407771256,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,3.5,4.949747468305833,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,3.75,5.303300858899107,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,4,5.656854249492381,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,4.25,6.0104076400856545,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,4.5,6.3639610306789285,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,4.75,6.7175144212722016,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,5,7.0710678118654755,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,5.25,7.4246212024587495,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,5.5,7.778174593052023,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,5.75,8.131727983645296,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,6,8.485281374238571,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,6.25,8.838834764831844,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,6.5,9.19238815542512,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,6.75,9.545941546018392,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,7,9.899494936611665,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,7.25,10.25304832720494,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,7.5,10.606601717798213,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,7.75,10.960155108391488,0,0,0,0,0
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,8,11.313708498984761,0.03134234177505557,0.00028642606798569953,5.616197411484305e-9,2.6879409774040103e-7,0.000011232394822968609
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,8.25,11.667261889578034,0.16015645160623815,0.03917145120715388,7.680676707285075e-7,0.000007201213521137912,0.001536135341457015
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,8.5,12.020815280171309,0.22158205090774408,0.10626389144957421,0.0000020836057146975334,0.000014133632944535458,0.004167211429395067
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,8.75,12.374368670764582,0.26724138088688254,0.1908447903173691,0.000003742054712105276,0.00002106605236793297,0.007484109424210552
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,9,12.727922061357857,0.3044493382300658,0.2887061522839677,0.000005660904946744464,0.000027998471791330516,0.011321809893488929
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,9.25,13.08147545195113,0.3361345804743052,0.39733681079783023,0.000007790917858780984,0.000034930891214728026,0.015581835717561969
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,9.5,13.435028842544403,0.3638348757881684,0.5150129325796792,0.000010098292795679983,0.000041863310638125536,0.020196585591359967
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,9.75,13.788582233137678,0.38848182658256214,0.6404587702313058,0.000012558015102574624,0.000048795730061523086,0.02511603020514925
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,10,14.142135623730951,0.4106929232630012,0.7726844592773202,0.000015150675672104318,0.000055728149484920596,0.030301351344208634
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,10.25,14.495689014324226,0.4309036608483193,0.9108965115304762,0.00001786071591236228,0.00006266056890831815,0.03572143182472456
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,10.5,14.849242404917499,0.44943545882719227,1.0544434935718716,0.000020675362619056308,0.00006959298833171566,0.04135072523811262
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,10.75,15.202795795510772,0.46653391776098585,1.202780734798085,0.000023583935976433038,0.00007652540775511317,0.04716787195286607
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,11,15.556349186104047,0.48239190433336543,1.3554461932920656,0.00002657737633906011,0.0000834578271785107,0.05315475267812022
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,11.25,15.90990257669732,0.4971642536766284,1.5120432799271797,0.000029647907449552542,0.00009039024660190823,0.059295814899105084
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,11.5,16.263455967290593,0.5109775489126113,1.6722282380516795,0.00003278878898140548,0.00009732266602530574,0.06557757796281097
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,11.75,16.61700935788387,0.5239368632581649,1.835700625479616,0.00003599412991136502,0.00010425508544870331,0.07198825982273004
limiter_nominal,limiter,drawn_17_to_18,17-18,ZL10 active,1,10,0.3,1,51000,11.3,7.990306627407987,12,16.970562748477143,0.5361305496227253,2.0021959788905646,0.000039258744684128716,0.00011118750487210082,0.07851748936825743
