freqHz,resistanceOhm,capacitiveReactanceOhm,conductanceSiemens,susceptanceSiemens,magnitudeSiemens,phaseDegrees,currentPerVoltRmsAmp,currentPerVoltRmsMicroAmp,percentOfBareR14Conductance
10,2000,15915494.309189534,7.895683396187852e-12,6.283185207959502e-8,6.283185257569544e-8,89.9928000000379,6.283185257569544e-8,0.06283185257569544,0.012566370515139088
20,2000,7957747.154594767,3.158273208854789e-11,1.2566369820598539e-7,1.256637021747885e-7,89.98560000030321,1.256637021747885e-7,0.12566370217478848,0.025132740434957695
100,2000,1591549.4309189534,7.895671052527524e-10,6.283175385186717e-7,6.283180346181193e-7,89.92800003789925,6.283180346181193e-7,0.6283180346181193,0.12566360692362386
1000,2000,159154.94309189534,7.89443688136767e-8,0.000006282193262983156,0.000006282689265500749,89.28003789569043,0.000006282689265500749,6.282689265500749,1.2565378531001499
10000,2000,15915.494309189533,0.00000777293820075065,0.00006185507684986444,0.0000623415519567433,82.8375441932742,0.0000623415519567433,62.341551956743295,12.468310391348659
20000,2000,7957.7471545947665,0.000029706320445055907,0.000118197693497562,0.00012187354192985431,75.89219762840987,0.00012187354192985431,121.87354192985431,24.374708385970862
79577.47154594767,2000,2000,0.00025,0.00025,0.00035355339059327376,45,0.00035355339059327376,353.5533905932738,70.71067811865476
100000,2000,1591.5494309189535,0.0003061366816304243,0.0002436158307161593,0.0003912394929134994,38.511887253966584,0.0003912394929134994,391.2394929134994,78.24789858269989
1000000,2000,159.15494309189532,0.0004968536375839372,0.00003953835620733635,0.0004984243360751646,4.549865309121086,0.0004984243360751646,498.42433607516455,99.68486721503291
