beta,assumedEmitterCurrentAmp,collectorCurrentAmp,baseCurrentAmp,r21SupplyAmp,residualR21ToTs3OrOtherAmp,gmSiemens,reOhm,rPiOhm,note
50,0.0003902439024390244,0.0003825920612147298,0.000007651841224294596,0.0005799999999999999,0.0001974079387852701,0.014800466584709083,67.5654375,3378.271875,Only valid if N38 is Ts2 base and N32 is Ts2 emitter; this is a consistency check, not a pin proof.
100,0.0003902439024390244,0.00038638010142477664,0.000003863801014247766,0.0005799999999999999,0.00019361989857522325,0.014947005857825013,66.90303125,6690.303125,Only valid if N38 is Ts2 base and N32 is Ts2 emitter; this is a consistency check, not a pin proof.
200,0.0003902439024390244,0.00038830239048659145,0.000001941511952432957,0.0005799999999999999,0.00019169760951340845,0.015021369071048025,66.571828125,13314.365625,Only valid if N38 is Ts2 base and N32 is Ts2 emitter; this is a consistency check, not a pin proof.
