scenario,vcmd,frequency_hz,command_model,zcmd_ohm,all_diodes_in_range,any_diode_out_of_range,left_path_v,right_path_v,VNA_mag,VNA_db,VNB_mag,VNB_db,VCMD_NODE_mag,input_impedance_mag
empirical_cmd_ideal_c4c6_0,0,40,ideal AC ground,0,false,true,0,0,0.004781257815557905,-46.40915675187245,0.004781041774557502,-46.40954923241951,0,3979130.6285110256
empirical_cmd_ideal_c4c6_0,0,100,ideal AC ground,0,false,true,0,0,0.011951489464266237,-38.4515593406733,0.01195140305491209,-38.45162213994441,0,1591812.2478107975
empirical_cmd_ideal_c4c6_0,0,1000,ideal AC ground,0,false,true,0,0,0.11812300660195746,-18.553310148121312,0.11812299806156396,-18.553310776118522,0,161055.76452958994
empirical_cmd_ideal_c4c6_0,0,5000,ideal AC ground,0,false,true,0,0,0.4727137139677047,-6.508035962653186,0.4727137126006005,-6.5080359877730745,0,40245.05584293533
empirical_cmd_ideal_c4c6_0,0,15000,ideal AC ground,0,false,true,0,0,0.7095147390165221,-2.980771567003778,0.7095147387885286,-2.9807715697948787,0,26813.241108727267
empirical_cmd_ideal_c4c6_0,0,20000,ideal AC ground,0,false,true,0,0,0.735145253483785,-2.6725368495004127,0.7351452533509059,-2.6725368510704066,0,25878.40930022512
empirical_cmd_ideal_c4c6_0,0.25,40,ideal AC ground,0,false,true,0.23760106789932262,0.23760106789932262,0.004768418298087937,-46.43251308304472,0.004768201668001103,-46.432907693511225,0,3979130.315701705
empirical_cmd_ideal_c4c6_0,0.25,100,ideal AC ground,0,false,true,0.23760106789932262,0.23760106789932262,0.011919397591044987,-38.47491386758031,0.011919310946029035,-38.47497700766569,0,1591811.4594576883
empirical_cmd_ideal_c4c6_0,0.25,1000,ideal AC ground,0,false,true,0.23760106789932262,0.23760106789932262,0.11781147087168643,-18.576248436523088,0.11781146230759003,-18.576249067928487,0,161047.9606191973
empirical_cmd_ideal_c4c6_0,0.25,5000,ideal AC ground,0,false,true,0.23760106789932262,0.23760106789932262,0.4718104064839916,-6.524649686612058,0.47181040511209454,-6.5246497118682765,0,40213.81371950107
empirical_cmd_ideal_c4c6_0,0.25,15000,ideal AC ground,0,false,true,0.23760106789932262,0.23760106789932262,0.7088494685978627,-2.988919637617343,0.7088494683688469,-2.988919640423589,0,26766.32569924454
empirical_cmd_ideal_c4c6_0,0.25,20000,ideal AC ground,0,false,true,0.23760106789932262,0.23760106789932262,0.734550739700501,-2.679563991733256,0.7345507395670088,-2.6795639933117696,0,25829.79598288945
empirical_cmd_ideal_c4c6_0,0.5,40,ideal AC ground,0,false,true,0.462512127064028,0.462512127064028,0.00439095750057215,-47.14881532694582,0.004390714918102897,-47.14929520013082,0,3979124.139897446
empirical_cmd_ideal_c4c6_0,0.5,100,ideal AC ground,0,false,true,0.462512127064028,0.462512127064028,0.010975880673224869,-39.19121246285158,0.010975783644873111,-39.191289247695124,0,1591790.1060815123
empirical_cmd_ideal_c4c6_0,0.5,1000,ideal AC ground,0,false,true,0.462512127064028,0.462512127064028,0.10863396063800743,-19.28068772844627,0.10863395103444709,-19.28068849630439,0,160825.71882207328
